County1,Number1,County2,Number2
Allen,18003,Adams,18001
Jay,18075,Adams,18001
Wells,18179,Adams,18001
Adams,18001,Allen,18003
DeKalb,18033,Allen,18003
Huntington,18069,Allen,18003
Noble,18113,Allen,18003
Wells,18179,Allen,18003
Whitley,18183,Allen,18003
Brown,18013,Bartholomew,18005
Decatur,18031,Bartholomew,18005
Jackson,18071,Bartholomew,18005
Jennings,18079,Bartholomew,18005
Johnson,18081,Bartholomew,18005
Shelby,18145,Bartholomew,18005
Jasper,18073,Benton,18007
Newton,18111,Benton,18007
Tippecanoe,18157,Benton,18007
Warren,18171,Benton,18007
White,18181,Benton,18007
Adams,18001,"Mercer,OH",39107
Adams,18001,"VanWert,OH",39161
Allen,18003,"Defiance,OH",39039
Delaware,18035,Blackford,18009
Grant,18053,Blackford,18009
Jay,18075,Blackford,18009
Wells,18179,Blackford,18009
Hamilton,18057,Boone,18011
Hendricks,18063,Boone,18011
Marion,18097,Boone,18011
Montgomery,18107,Boone,18011
Morgan,18109,Boone,18011
Allen,18003,"Paulding,OH",39125
Allen,18003,"VanWert,OH",39161
Benton,18007,"Iroquois,IL",17075
Benton,18007,"Vermilion,IL",17183
Clark,18019,"Jefferson,KY",21111
Clark,18019,"Oldham,KY",21185
Bartholomew,18005,Brown,18013
Jackson,18071,Brown,18013
Johnson,18081,Brown,18013
Monroe,18105,Brown,18013
Clark,18019,"Trimble,KY",21223
Crawford,18025,"Meade,KY",21163
Dearborn,18029,"Boone,KY",21015
Cass,18017,Carroll,18015
Clinton,18023,Carroll,18015
Howard,18067,Carroll,18015
Tippecanoe,18157,Carroll,18015
White,18181,Carroll,18015
Dearborn,18029,"Butler,OH",39017
Dearborn,18029,"Hamilton,OH",39061
Carroll,18015,Cass,18017
Fulton,18049,Cass,18017
Howard,18067,Cass,18017
Miami,18103,Cass,18017
Pulaski,18131,Cass,18017
White,18181,Cass,18017
DeKalb,18033,"Defiance,OH",39039
DeKalb,18033,"Williams,OH",39171
Floyd,18043,Clark,18019
Jefferson,18077,Clark,18019
Scott,18143,Clark,18019
Washington,18175,Clark,18019
Elkhart,18039,"Cass,MI",26027
