County,FIPS code,County seat,Population,Area,Trump votes,Trump pct,Biden votes,Biden pct,associated
Adams,1,Decatur,36068,339,10686,75.2%,3236,22.8%,"Allen, Jay, Wells, Mercer, Van Wert"
Allen,3,Fort Wayne,391449,657,92083,54.5%,73189,43.3%,"Allen, DeKalb, Huntington, Noble, Wells, Whitley, Defiance, Paulding, Van Wert"
Bartholomew,5,Columbus,83540,407,22410,61.9%,12934,35.7%,"Brown, Decatur, Jackson, Jennings, Johnson, Shelby"
Benton,7,Fowler,8719,406,3007,73.2%,1009,24.6%,"Vermilion, Benton, Jasper, Newton, Tippecanoe, Warren, White"
Blackford,9,Hartford City,11919,165,3841,71.8%,1376,25.7%,"Delaware, Grant, Jay, Wells"
Boone,11,Lebanon,74164,423,22351,58.1%,15244,39.6%,"Clinton, Hamilton, Hendricks, Marion, Montgomery"
Brown,13,Nashville,15570,312,5777,64.3%,3036,33.8%,"Brown, Jackson, Johnson, Monroe, Morgan"
Carroll,15,Delphi,20555,372,7086,74.6%,2224,23.4%,"Cass, Clinton, Howard, Tippecanoe, White"
Cass,17,Logansport,37540,412,10552,69.5%,4304,28.3%,"Cass, Fulton, Howard, Miami, Pulaski, White"
Clark,19,Jeffersonville,124237,373,33668,58.2%,23093,39.9%,"Floyd, Jefferson, Scott, Washington, Jefferson, Oldham, Trimble"
Clay,21,Brazil,26379,358,9499,77.5%,2552,20.8%,"Greene, Owen, Parke, Putnam, Sullivan, Vigo"
Clinton,23,Frankfort,32843,405,9334,72.1%,3361,26.0%,"Carroll, Clinton, Hamilton, Howard, Montgomery, Tippecanoe, Tipton"
Crawford,25,English,10536,306,3483,70.4%,1355,27.4%,"Dubois, Harrison, Orange, Perry, Washington, Meade"
Daviess,27,Washington,33418,429,9576,80.1%,2169,18.2%,"Dubois, Greene, Knox, Martin, Pike"
Dearborn,29,Lawrenceburg,51138,305,19528,77.0%,5446,21.5%,"Franklin, Ohio, Ripley, Boone, Butler, Hamilton"
Decatur,31,Greensburg,26416,373,9575,77.9%,2439,19.9%,"Decatur, Franklin, Jennings, Ripley, Rush, Shelby"
DeKalb,33,Auburn,43731,363,14237,72.5%,4966,25.3%,"DeKalb, LaGrange, Noble, Steuben, Defiance, Williams"
Delaware,35,Muncie,112031,392,26827,55.7%,20474,42.5%,"Delaware, Grant, Henry, Jay, Madison, Randolph"
Dubois,37,Jasper,43632,427,15033,69.1%,6292,28.9%,"Daviess, Dubois, Martin, Orange, Perry, Pike, Spencer, Warrick"
Elkhart,39,Goshen,206890,463,46972,63.2%,26108,35.1%,"Kosciusko, LaGrange, Marshall, Noble, St. Joseph, Cass, St. Joseph"
Fayette,41,Connersville,23349,215,7755,76.5%,2237,22.1%,"Franklin, Henry, Rush, Union, Wayne"
Floyd,43,New Albany,80714,148,23400,56.0%,17511,41.9%,"Floyd, Harrison, Washington, Jefferson"
Fountain,45,Covington,16574,396,6154,77.1%,1629,20.4%,"Montgomery, Parke, Tippecanoe, Vermillion, Warren"
Franklin,47,Brookville,23028,384,9691,80.8%,2137,17.8%,"Decatur, Fayette, Franklin, Ripley, Rush, Union, Butler, Hamilton"
Fulton,49,Rochester,20327,368,6694,73.2%,2280,24.9%,"Fulton, Kosciusko, Marshall, Miami, Pulaski, Starke, Wabash"
Gibson,51,Princeton,32993,487,11817,73.1%,4023,24.9%,"White, Gibson, Knox, Pike, Posey, Vanderburgh, Warrick"
Grant,53,Marion,66022,414,18543,68.3%,8015,29.5%,"Delaware, Grant, Howard, Huntington, Madison, Miami, Tipton, Wabash, Wells"
Greene,55,Bloomfield,31006,543,11103,75.1%,3389,22.9%,"Daviess, Greene, Knox, Lawrence, Martin, Monroe, Owen, Sullivan"
Hamilton,57,Noblesville,364921,394,101587,52.4%,88390,45.6%,"Clinton, Hamilton, Hancock, Madison, Marion, Tipton"
